First Name (required),Last Name (required),Title,Company,Description,Image URL,Website,Twitter Handle,Facebook URL,LinkedIn URL,Session IDs,Attendee ID,Speaker ID
Mitch,Kessler,President,"Kessler Consulting, Inc.","<strong>BIO: </strong> Mitch Kessler, president of Kessler Consulting, Inc. (KCI), has more than 30 years in the solid waste industry and has been responsible for more than 300 projects pertaining to comprehensive waste management, collection, recycling, and composting programs for municipalities, institutions, and private organizations. Mitch is a nationally recognized expert in the procurement and operations of solid waste collection systems and materials recovery programs and facilities and is especially knowledgeable in collection and market development issues as they relate to the economic viability of solid waste and recycling programs. Mitch has assisted many clients with developing strategic partnerships, publicâ€êpublic and publicâ€êprivate, to leverage capabilities. Mitch is the president of the SWANA Florida Sunshine Chapter and earned the prestigious Professional Achievement Award for the Private Sector in 2012. His firm was the prime contractor for developing the SWANA Manager of Recycling Systems certification course development team. Mitch brings extensive experience in public speaking and engaging audiences of various sizes, backgrounds, and demographics. Mitch earned his degree in environmental law from the University of New Hampshire and holds a Masterâ€™s degree in American studies and a Bachelorâ€™s of Science degree in management from Purdue University. ",http://www.swana.org/Portals/0/events/speakers/MitchKessler.png,,,,,ORtZWZWCC040616RTZW040616420PM,,MKessler
Henry,Kerfoot,Principal,"Civil and Environmental Consultants, Inc.","<strong>BIO: </strong> Henry Kerfoot has more than 30 years of experience in characterizing subsurface reactions and transport processes and has worked on elevated temperatures at landfills since 2006. In 2014, a major landfill firm turned to him for development of an evaluation of two cooling methods for waste with elevated temperatures, and that work is ongoing. He has developed analytical models for heat transport in waste to allow prediction of deeper temperatures from shallow temperature data and methods for evaluation of the performance of cooling methods. He recently completed design of an interception barrier to allow continued operation of a landfill that has elevated temperatures from exothermic reactions. In addition to heat transport, he has evaluated groundwater transport of contaminants and migration of landfill gas. He was the originator of the concept of landfill gas rather than leachate as the source of volatile organic compounds in groundwater and has obtained regulatory approval for natural attenuation of landfill gas impacts on groundwater in California and for groundwater contaminants ranging from coal ash constituents to uranium in various other states. He has worked on landfills in Australia and has obtained regulatory approval of natural attenuation of landfill gas migration in both the U.S. and Australia. ",http://www.swana.org/Portals/0/events/speakers/HenryKerfoot.png,,,,,STRaLHaS040616LF040616520PM,,HKerfoot
Bryan,Staley,Director,Environmental Research and Education Foundation,"<strong>BIO: </strong> Dr. Bryan Staley currently serves as president and CEO of the Environmental Research and Education Foundation (EREF), one of the largest sources of research and scholarships related to solid waste management. He joined the EREF in 2008, where he started as vice-president of environmental programs, and has 21 years of experience in the environmental engineering field. He is recognized nationally as technical expert in sustainable solid waste management issues and holds degrees from N.C. State University (PhD, B.S.) and the University of Tennessee (M.S.). In addition to his leadership responsibilities, Dr. Staley plays an active role in the Foundationâ€™s internal research program, where he provides thought leadership, oversight and data analysis. Dr. Staley is a licensed professional engineer has held key positions in consulting firms as a project manager and vice-president of engineering where he managed projects ranging from solid waste management, wastewater treatment system design, to retail/commercial land development and environmental management of large-scale livestock operations. ",http://www.swana.org/Portals/0/events/speakers/BryanStaley.png,,,,,LWiBUoLGaPIoOD040716LMOP040716900AM,,BStaley
Michael,Bedley,Partner,APEX Power Services Corp.,"<strong>BIO: </strong> Michael D. Bedley graduated in 1986 from the Georgia Institute of Technology with a Bachelor of Science degree in mechanical engineering. In 1992, he graduated from the NOVA Southern University with a Master of Business Administration. Since 1982, he has been involved in the electric utility and power generation areas with more than 30 years of experience in the industry, which included various engineering, financial, managerial, and consulting specialist positions. Since 1995, his responsibilities at APEX Power Services Corp. have included providing consulting services to Fortune 500 companies. His current work with APEX includes negotiating PPA agreements, lender and other commercial/regulatory issues surrounding power production, renewable energy generation/development, providing state commission witness expertise regarding renewable energy portfolio standards, efficiency/energy recovery and financial balancing among stakeholders and electric energy production. Along with his involvement in APEX, he also acts as an on-air TV/radio expert and provides information and resources for CNBC, Nightly Business Report, The Associated Press, national trade publications, and several newspapers including the USA Today, Tribune, and Wall Street Journal in areas pertaining to electric utility deregulation, regulation and free market competition. ",http://www.swana.org/Portals/0/events/speakers/MichaelBedley.png,,,,,LWitVoLGtEitFEEM040716LMOP040716920AM,,MBedley
Ashley,Evans,LEED AP / Project Manager,Arcadis,<strong>BIO: </strong> Ashley Evans is an Environmental Engineer with 12 years of solid waste consulting experience and recently graduated with an MBA. She is a member of the SWANA YP Steering Committee as well as the Membership Chair of the SWANA Mid-Atlantic Chapter. ,http://www.swana.org/Portals/0/events/speakers/AshleyEvans.png,,,,,N1040716YPall040716930AM,,AEvans
Randall,Lack,Chief Marketing Officer,"Element Markets, LLC","<strong>BIO: </strong> Randall N. Lack has been a successful entrepreneur within the emissions and alternative energy industry for almost a decade. In 2005, he co-founded Element Markets, LLC, a leading carbon management and alternative energy company, and currently serves as a chief marketing officer. Since founding Element Markets, Randall has assisted in the development of several alternative energy projects including wind, solar, landfill gas and biomass energy. He has extensive experience in structuring transactions spanning 17 emissions trading regions and covering seven emissions commodities. In addition, Randall has extensive experience in transacting renewable energy and carbon credits throughout North America. Randall is an acclaimed speaker and media resource for renewable energy credits, greenhouse gas trading, regional emission markets and pending emissions legislation. He has developed regional emissions, renewable energy, and greenhouse gas portfolios for a wide-range of clients, from municipalities to Fortune 500 corporations. He received his BBA degree, magna cum laude, from the University of Houston. ",http://www.swana.org/Portals/0/events/speakers/RandallLack.png,,,,,LWCSEfVCfB040716LMOP040716940AM,,RLack
Rick,Sapir,Partner,Hawkins Delafield & Wood LLP,"<strong>BIO: </strong> Rick Sapir started with the law firm of Hawkins, Delafield &amp; Wood after graduating from Fordham Law School in 1986. Since then, he has focused his practice in the representation of local and state governments in solid waste, water, wastewater, biosolids, electricity, gas and transportation transactions. Rick has developed expertise in all legal and business issues surrounding environmental facilities, including their development, permitting, financing, procurement, construction and operations. In the solid waste sector, he has served as procurement counsel on several solid waste projects that have been constructed and are operating, including waste-to-energy projects, composting projects, landfills, material recovery facilities, baling facilities and landfill gas-to-energy projects. He received his Bachelorâ€™s degree from Union College in New York in 1983 before earning his law degree. ",http://www.swana.org/Portals/0/events/speakers/RickSapir.png,,,,,LWoPANLGBUCaAECE040716LMOP0407161030AM,,RSapir
Andrew,Campanella,CEO,Loci Controls,"<strong>BIO: </strong> Andy Campanella is co-founder and CEO of Loci Contols, a company he started in 2012 while attending graduate school at the Massachusetts Institute of Technology with fellow Loci co-founder, Melinda Sims. Then, Andy was working on a Master's of Science degree in the system design and management program at MITâ€™s Sloan School, a program he finished in the summer of 2013. Since graduating from MIT, Andy has been working full time on commercializing Loci Controls' landfill gas optimization service. Prior to attending graduate school, Andy was the first engineer hired at the WiTricity Corporation, where he played a key role in the companyâ€™s early growth. Based on his work at WiTricity, Andy is listed as inventor on more than 50 US patents and applications related to control systems, power electronics and wireless power transfer. Prior to working at WiTricity, Andy was a hardware engineer at Teradyne, his first job after getting a Bachelor of Science degree in electrical engineering, also from MIT. Andy is an active member of SWANA and serves as Board member for SWANAâ€™s Southern New England Chapter. ",http://www.swana.org/Portals/0/events/speakers/AndrewCampanella.png,,,,,LWRMaAC040716LMOP0407161050AM,,ACampanella
Alain,Castro,CEO,"Ener-Core, Inc.","<strong>BIO: </strong> Alain Castro is the chief executive officer of Ener-Core, Inc. He has spent the vast majority of his career developing, financing and building new power generation plants, as well as optimizing older energy infrastructure assets across many countries throughout Europe, Latin America and North America. Most recently, he was interim CEO of the North and South America divisions of Akuo Energy, a leading international developer/operator of renewable energy projects with over $1 billion in operational power plants. He also founded International Energy Ventures in 2002, which has invested capital and nurtured the growth of companies across the areas of fuel cells, batteries, wind energy and biofuels. ",http://www.swana.org/Portals/0/events/speakers/AlainCastro.png,,,,,LWTLGiCRE040716LMOP0407161110AM,,ACastro
Robert,Miller,,Clear Power Systems ,"<strong>BIO: </strong> Robert B. Miller was an executive with several large mechanical contracting companies specializing in large commercial and Industrial projects worldwide. He then purchased his own mechanical contracting company, operating it successfully for 10 years. He founded a packaged cogeneration company using internal combustion engines to run on natural and biogas. This company was sold to Amerada Hess, and Robert ran that division for Hess for five years. In 2005, he cofounded Turbogenix, Inc., which developed a 125 kW waste heat generator. This company merged with Calnetix, Inc., and was sold to General Electric in 2011. In 2012, Robert founded Clear Power Systems, Inc., which was sold to Questor Technologies, Inc., in 2013. Questor is a Calgary-based manufacturer of incinerators and combustors. This company manufactures waste heat generators from SO kW to 500 kW. Robert serves as president of Clear Power Systems. ",http://www.swana.org/Portals/0/events/speakers/RobertMiller.png,,,,,LWaCaaWHGtCLGtCP040716LMOP0407161130AM,,RMiller
