Name (required),Description,Start Time (required),End Time (required),Location,Session Tracks,Filters,Speaker IDs,Link URLs,Session ID
Overcoming Roadblocks to Zero Waste:Herding Cats-Getting People to Work Together,"<strong> ABSTRACT:</strong><br> This presentation will demonstrate what long-term strategic planning, historically prudent financial management, utilization of existing infrastructure, beneficial timing, a dedicated appointed Board of Directors and some visionary staff leadership can bring about with a focus on creating a true ""Zero Waste"" facility.<br> Starting in 2010, the Monterey Regional Waste Management District realized the need to plan for the next generation of its recycling system. State legislation and regulatory agencies made clear a statewide 75% recycling goal. In 2014, the Districtâ€™s debt from its 1996 MRF would be paid off and the MRF would require upgrades. In 2015, the franchise agreements in seven of its member communities would expire. The key to success was to work regionally to develop a unified vision while respecting the unique character and needs of each community. The District engaged HF&amp;H Consultants to work with the District and member communities to define the goals and the methods for achieving them, including: 1) new infrastructure to support processing of all waste, recycling, organics, and C&amp;D in the region; 2) recovery of energy and fuel products; 3) competitive procurement for franchise collection services; and, 4) a business model that aligns with a future with less waste. The presentation will describe the features of the new system that enable the achievement of the highest levels of material recovery seen anywhere in the U.S. while preserving the value of recyclable and organic commodity. HF&amp;H describe the planning and franchise procurement process. MRWMD will present the state-of-the-industry infrastructure that will provide the backbone for the next twenty to thirty years of recovery programs. GreenWaste Recovery will provide the hauler and community engagement perspective, describing how the plan is manifested on a daily basis when working with residents and businesses.<br> Complete the sentence: â€œFollowing this presentation, participants will be able to...â€ù<br> 1) learn from mistakes and challenges in developing this process<br> 2) identify key stakeholders for support and development of project arguments<br> 3) develop process and timetable for successful project implementation in your rspective areas<br> ",4/6/16 16:20,4/6/16 17:30,Ballroom B,RTZW, ,"TFlanagan,RHilton,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/GettingPeopletoWorkTogether.aspx,ORtZWCPtWT040616RTZW040616420PM
Overcoming Roadblocks to Zero Waste:SWANA's Zero Waste Certification Course,"<strong> ABSTRACT:</strong><br> SWANA is partnering with the California Resource Recovery Association to develop a Zero Waste Principles and Practices Certification Course. The course is being developed by Kessler Consulting with significant input from project team members and reviewers from across North America. Don Ross will discuss the course parameters, outline and progress to date as well as lessons learned in the development thus far. ",4/6/16 16:20,4/6/16 17:30,Ballroom B,RTZW, ,"MKessler,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SWANAsZeroWasteCertificationCourse.aspx,ORtZWZWCC040616RTZW040616420PM
Session Change,.,4/6/16 17:10,4/6/16 17:20,.,LF, ,,,SC040616LF040616510PM
Self-Sustaining Thermal Reactions at Landfills - Hypotheses and Symptoms," <br> <strong> ABSTRACT:</strong><br> Self-sustaining thermal reactions at landfills can be a major event for owners of such sites. The current state of knowledge of the processes occurring in these events is not well developed. Several hypotheses have been advanced, formally or informally, for the heat-producing reactions occurring at these sites. This presentation will describe a spreadsheet that computes temperature profiles, and results match temperature data from hot sites (R2&gt;0.9, n&gt;5.) The spreadsheet is based on an assumption of homogeneous heat generation with depth and that assumption is not consistent with reactive metals, smoldering combustion, or pressure-induced reactions as heat sources. <br> <br> ",4/6/16 17:20,4/6/16 17:50,Ballroom A,LF, ,"HKerfoot,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/SelfSustainingThermalReactionsatLandfillsHypothesesandSymptoms.aspx,STRaLHaS040616LF040616520PM
Registration and Information Desk Open,.,4/7/16 7:00,4/7/16 10:00,.,"YP,all", ,,,RaIDO040716YPall040716700AM
Certification Exam Check-in,.,4/7/16 7:30,4/7/16 8:00,Room 5,all, ,,,CEC040716all040716730AM
Continental Breakfast,.,4/7/16 7:30,4/7/16 8:00,.,all, ,,,CB040716all040716730AM
LMOP Workshop,.,4/7/16 8:30,4/7/16 12:00,Ballroom C,LMOP, ,,,LW040716LMOP040716830AM1
LMOP Welcome,.,4/7/16 8:30,4/7/16 9:00,Ballroom C,LMOP, ,,,LW040716LMOP040716830AM
Charleston County Commercial Food Waste Walking Tour,"We will visit local businesses participating in the Charleston County Commercial Food Waste Composting Program. The program gives local businesses the opportunity to reduce their overall disposal costs and impact on the environment by contracting for collection services and negotiating fees to divert this material from the waste stream to Charleston County's Bees Ferry Compost Facility. <br />The program earned the U.S. Composting Council's (USCC) Seal of Testing Assurance (STA), which testifies that the finished compost consistently meets that program's high quality standards. USCC awarded Charleston County its Composting Program of the Year Award in 2014.",4/7/16 9:00,4/7/16 11:45,.,all, ,,,CCCFWWT040716all040716900AM
LMOP Workshop:Trends in Beneficial Use of Landfill Gas and Potential Impacts of Organics Diversion," <br> <strong> ABSTRACT:</strong><br> EREF estimates 382.5 million tons of MSW was generated in 2013 with 66% of this waste being landfilled. Â It is the biodegradable organics in this waste mass that are broken down anaerobically to create biogas consisting of methane and carbon dioxide. Â Of the 251.3 million tons of MSW placed in landfills, roughly 43% is biodegradable. Â The majority of the biodegradable waste material placed in a landfill consists of food waste, yard waste and wood or woody materials.<br> Â <br> While the biogas generated in a landfill can contribute to global warming, methane also has the potential to be beneficially used for heat, fuel or electricity. Â In a landfill, the extent to which biogas can beneficially utilized is based on factors such as the waste composition going to the landfill, volume of biogas generated, the existence of a gas collection system, and other factors such as market demand for certain types of biogas products (i.e. electricity, compressed natural gas, heat). Â While estimates have been made to assess the extent to which landfill gas is being collected and utilized (e.g. LMOP, GHG reporting tool), more detailed assessments to understand metrics, such as the fraction of placed MSW tonnage that go to landfills with beneficial gas use, have been more fragmented.<br> Â <br> EREF has conducted a study that evaluated landfill gas utilization practices of roughly 1,500 active landfills. Â The primary objective of this work was to understand to what extent landfill gas is being beneficially used, what primary end uses are being employed, and the extent of differences in private versus publicly owned operations. Â  Results suggest that approximately 85% of tonnage going to landfills in the U.S. is being placed in landfills that have gas collection systems and that, of this, roughly 75% of the landfill gas is being beneficially used. Â Significant policy changes are occurring in various states that have the potential to drastically change the landscape of landfill gas to energy. Â These recent trends in organics diversion policy include restrictions and bans on organics going to landfills. Â Part of the analysis performed evaluates the impact on landfill gas generation and utilization if increasing diversion occurs over time. Â Additionally, results from life cycle analyses will be compared in this presentation as well that look at relative impacts in using landfill gas to energy systems versus other options such as anaerobic digestion, composting. <br> <br> ",4/7/16 9:00,4/7/16 9:20,Ballroom C,LMOP, ,"BStaley,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/TrendsinBeneficialUseofLandfillGasandPotentialImpactsofOrganicsDiversion.aspx,LWiBUoLGaPIoOD040716LMOP040716900AM
LMOP Workshop:What is the Value of Landfill Gas to Energy in the Future Electric Energy Marketplace?," <br> <strong> ABSTRACT:</strong><br> This presentation will cover current electric industry market conditions, due to renewable and natural gas prices and the short-term volatility of the markets. The speaker will address the increasing demand for green, renewable energy and its distribution. Energy capacity and the electric utility industry are impacted by the current low natural gas prices, which puts some consumers at risk and benefits others. What changes may lie ahead? <br> <br> ",4/7/16 9:20,4/7/16 9:40,Ballroom C,LMOP, ,"MBedley,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WhatistheValueofLandfillGastoEnergyintheFutureElectricEnergyMarketplace.aspx,LWitVoLGtEitFEEM040716LMOP040716920AM
Networking 101," <br> <strong> ABSTRACT:</strong><br> The presenter will give you a step-by-step method for prioritizing your time and efforts in building a network. This includes how to research potential new contacts/organizations, a 4-part email structure to get replies, and how to use technology to manage your network building progress. Tips on maintaining relationships as you build and grow your network also will be provided. Finally, the presenter will discuss ways to network within SWANA and get more out of your membership. <br> <br> ",4/7/16 9:30,4/7/16 10:30,Room 1,"YP,all", ,"AEvans,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/Networking101.aspx,N1040716YPall040716930AM
LMOP Workshop:A Case Study Example for Value Creation from Biogas," <br> <strong> ABSTRACT:</strong><br> Randall will give an overview of what it takes to actually take a project from production to credit generation and understand the marketing and sales of credits, as well as environmental commodities market economics. The presentation also will provide insight into what opportunities the D3 Cellulosic Biofuel RIN generation capability of biogas has opened up and how this relates to stimuli from the D5 Advanced Biofuel RIN marketplace and EPA-governed pricing of the Cellulosic Waiver Credits. As part of the presentation, an overview of the value creation potential under the LCFS also is provided, including how the re-adoption of the program by the California Air Resources Board affected biogas market participants and their credit generation capability, as defined by the Carbon Intensity of their fuel. Information on LCFS participation will include lessons learned from Life Cycle Analysis modelling under both the CA-GREET 1.8 and 2.0 models that was performed by Element Marketsâ€™ in-house team.<br> <br> ",4/7/16 9:40,4/7/16 10:00,Ballroom C,LMOP, ,"RLack,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ACaseStudyExampleforValueCreationfromBiogas.aspx,LWCSEfVCfB040716LMOP040716940AM
LMOP Workshop:Challenges of Procuring A New Landfill Gas Beneficial Use Contract as An Existing Contract Expires," <br> <strong> ABSTRACT:</strong><br> This presentation describes certain challenges associated with a new landfill gas beneficial use project procurement when an existing contract is set to expire. This presentation would focus on a project that we recently worked on in Wake County, North Carolina where the County sought to procure an advantageous Landfill Gas Rights Agreement as its existing agreement was set to expire. Lack of competition and difficult negotiations can be two of the biggest challenges public entities may face if in the position of procuring a new project as an existing contract expires. Despite these challenges, the County was able to negotiate a contract far superior to its existing agreement. We believe that this presentation would be informative and helpful for any public entity that has an existing landfill gas beneficial use contract that may be nearing expiration. <br> <br> ",4/7/16 10:30,4/7/16 10:50,Ballroom C,LMOP, ,"RSapir,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ChallengesofProcuringANewLandfillGasBeneficialUseContractasAnExistingContractExpires.aspx,LWoPANLGBUCaAECE040716LMOP0407161030AM
LMOP Workshop:Wellfield Remote Monitoring and Automatic Control," <br> <strong> ABSTRACT:</strong><br> Proper management of the landfill gas collection system is crucial for landfill-gas-to-energy project performance, regulatory compliance, and odor control. However the tools available for collection system management often require intensive manual labor and are limited in capability. This presentation demonstrates equipment developed for remote, real-time monitoring of key gas parameters (CH4%, CO2%, O2%, Temp., Pressure and Flow Rate) at the wellhead, as well as for remotely adjusting static pressure of those wellheads. This work also demonstrates the feasibility of automated control in a way that can be scaled with site size and needs.<br> Â <br> By using the described equipment, unprecedented frequency and granularity of data collection has been achieved. This data is visualized through a web portal accessible from anywhere. Identification of well flooding is shown, as is correlated behavior in adjacent wellheads. This collected data can be used in future work to develop a better understanding of the mechanisms of gas generation and sub-surface movement, and process sensitivities to factors such as rainfall, atmospheric pressure, or system vacuum.<br> Â <br> By developing equipment capable of continuous monitoring of key gas production variables, coupled with control capability using a remotely actuated valve, this work has enabled new levels of control over the gas collection system. This presentation will include a case study of work carried out at the Crapo Hill landfill in conjunction with the Greater New Bedford Regional Refuse Management District and the Commonwealth Resource Management Corporation. However the results have application at any landfill site, in particular sites with existing landfill-gas-to-energy projects, or with odor control challenges. Furthermore, by the time of the conference we will have data and results to share from at least five additional sites located throughout the country<br> <br> <br> <br> ",4/7/16 10:50,4/7/16 11:10,Ballroom C,LMOP, ,"ACampanella,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/WellfieldRemoteMonitoringandAutomaticControl.aspx,LWRMaAC040716LMOP0407161050AM
LMOP Workshop:Productively Turning Landfill Gas into Clean & Renewable Energy," <br> <strong> ABSTRACT:</strong><br> In April 2015, the California Energy Commission (CEC) awarded a $1.5 million grant to the University of California, Irvineâ€™s Advanced Power &amp; Energy Program (APEP) to facilitate renewable energy projects. These funds now represent the start of a project at the Santiago Canyon Landfill, where methane is currently being flared. In the coming months, Ener-Core will install a 333 kW ecostation that will directly convert the low-Btu methane to electricity at the landfill, as part of a new partnership between Ener-Core, the County of Orange, and APEP. This project will not only benefit the local community, but it will represent a big shift at a global level, as there are hundreds of closed landfills around the world that currently emit greenhouse gases. Although the project wonâ€™t start generating electricity until 2017, Ener-Coreâ€™s Power Oxidizer is planned to provide approximately $250,000/year worth of electricity to the county. <br> <br> <br> ",4/7/16 11:10,4/7/16 11:30,Ballroom C,LMOP, ,"ACastro,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/ProductivelyTurningLandfillGasintoCleanRenewableEnergy.aspx,LWTLGiCRE040716LMOP0407161110AM
LMOP Workshop:Utilizing a Combustor and a Waste Heat Generator to Convert Landfill Gas to Clean Power," <br> <strong> ABSTRACT:</strong><br> Mr. Miller will illustrate and define all of the components that make up the complete system; i.e., the combustor, the exhaust gas heat exchanger, the waste heat generator and all related piping and wiring. He will provide complete installed cost breakdowns of the system item by item and compare the installed costs of a combustor/waste heat generator system with those of Internal combustion engine gen set running on methane gas. Also, he will compare the annual operating costs of the combustor system to those of the internal combustion engine system. The presentation will compare the life cycle of both systems and discuss the emissions from both systems. <br> <br> <br> ",4/7/16 11:30,4/7/16 11:50,Ballroom C,LMOP, ,"RMiller,",https://swana.org/Events/SWANApalooza/ConferenceProgram/2016/UtilizingaCombustorandaWasteHeatGeneratortoConvertLandfillGastoCleanPower.aspx,LWaCaaWHGtCLGtCP040716LMOP0407161130AM
LMOP Workshop:Questions,.,4/7/16 11:50,4/7/16 12:00,Ballroom C,LMOP, ,,,LW040716LMOP0407161150AM
Bees Ferry Road Landfill Facility Tour,"Charleston County's Environmental Management Department operates the 312-acre Bees Ferry Road Landfill, including a 36-acre Compost Facility that processes 100% of the yard waste generated and accepted at the landfill, nearly 75,000 tons a year. Charleston County has become the largest compost producer in the state and one of the largest on the East Coast. The facility has implemented two major innovations _ using compost as Alternative Daily Cover and conducting a food waste composting pilot. ",4/7/16 13:00,4/7/16 16:00,.,all, ,,,BFRLFT040716all040716100PM
Berkeley County Water & Sanitation Tour,"Berkeley County Water &amp; Sanitation's green energy projects include a Landfill Gas to Energy (LFG) project with <a href=""https://www.santeecooper.com/portal/page/portal/santeecooper/homepage"">Santee Cooper</a>,&nbsp;a state-owned electric and water utility, that partners with <a href=""http://www.ghgworks.com/"">Blue Source</a>, a company that verifies BCWS's carbon credits. This is somewhat different than most Landfill Gas to Energy projects in that BCWS decided to keep the carbon credits rather than allow the end user of the LFG to collect them. Google was the first company to purchase carbon credits from BCWS. &nbsp;A section of the landfill is closed using artificial turf - specifically the &quot;Closure Turf&quot; manufactured by AgruAmerica. This system was designed to handle up to 2,500 Standard cubic feet per minute (SCFM) of LFG of which they were able to produce around 300 SCFM allowing for expansion over the next 10 years using up to 6, 2 megawatt generators. Future projects include plans to take the leachate and effluent from the landfill and wastewater treatment facility and use it in an algae to energy facility.<br />Tour Guide: Mark Schlievert, Director of Solid Waste - Berkeley County<br />Sponsored by Watershed<img alt=""Watershed"" class=""sponsors"" style=""width: 35%;"" src=""/portals/0/events/sponsors/watershed.jpg"" />",4/7/16 13:00,4/7/16 16:30,.,all, ,,,BCWST040716all040716100PM
